Architecture,Activation,Optimizer,SequenceLength,GradientClip,Accuracy,F1,EpochTimeSeconds
RNN,relu,adam,25,No,0.6543,0.6532,5.49
RNN,relu,adam,25,Yes,0.6827,0.6812,4.97
RNN,relu,adam,50,No,0.5968,0.5903,4.07
RNN,relu,adam,50,Yes,0.7004,0.699,4.54
RNN,relu,adam,100,No,0.5547,0.5485,4.79
RNN,relu,adam,100,Yes,0.6181,0.6173,5.08
RNN,relu,sgd,25,No,0.5798,0.574,3.79
RNN,relu,sgd,25,Yes,0.5834,0.5663,4.34
RNN,relu,sgd,50,No,0.5534,0.5299,4.47
RNN,relu,sgd,50,Yes,0.5548,0.5483,4.53
RNN,relu,sgd,100,No,0.543,0.522,4.54
RNN,relu,sgd,100,Yes,0.5317,0.5079,4.73
RNN,relu,rmsprop,25,No,0.6556,0.6549,3.96
RNN,relu,rmsprop,25,Yes,0.6814,0.6795,4.81
RNN,relu,rmsprop,50,No,0.62,0.6163,4.14
RNN,relu,rmsprop,50,Yes,0.6935,0.692,4.57
RNN,relu,rmsprop,100,No,0.621,0.6204,4.77
RNN,relu,rmsprop,100,Yes,0.6676,0.6597,5.1
RNN,tanh,adam,25,No,0.5314,0.5179,4.28
RNN,tanh,adam,25,Yes,0.6751,0.6751,5.02
RNN,tanh,adam,50,No,0.654,0.6539,4.27
RNN,tanh,adam,50,Yes,0.689,0.6881,4.61
RNN,tanh,adam,100,No,0.5602,0.5124,5.0
RNN,tanh,adam,100,Yes,0.6848,0.6848,4.95
RNN,tanh,sgd,25,No,0.5699,0.5559,3.97
RNN,tanh,sgd,25,Yes,0.5826,0.58,4.63
RNN,tanh,sgd,50,No,0.499,0.333,4.43
RNN,tanh,sgd,50,Yes,0.517,0.4057,4.5
RNN,tanh,sgd,100,No,0.5168,0.4902,5.55
RNN,tanh,sgd,100,Yes,0.5833,0.5634,5.52
RNN,tanh,rmsprop,25,No,0.6293,0.6235,4.17
RNN,tanh,rmsprop,25,Yes,0.673,0.6728,5.12
RNN,tanh,rmsprop,50,No,0.6259,0.6098,4.15
RNN,tanh,rmsprop,50,Yes,0.6942,0.6936,5.05
RNN,tanh,rmsprop,100,No,0.6159,0.5996,5.28
RNN,tanh,rmsprop,100,Yes,0.6862,0.6861,5.14
RNN,sigmoid,adam,25,No,0.6522,0.6522,4.69
RNN,sigmoid,adam,25,Yes,0.671,0.6709,4.66
RNN,sigmoid,adam,50,No,0.5925,0.5921,4.05
RNN,sigmoid,adam,50,Yes,0.6757,0.6753,4.5
RNN,sigmoid,adam,100,No,0.5552,0.4948,4.87
RNN,sigmoid,adam,100,Yes,0.662,0.662,5.11
RNN,sigmoid,sgd,25,No,0.5164,0.4085,4.1
RNN,sigmoid,sgd,25,Yes,0.5848,0.5848,4.45
RNN,sigmoid,sgd,50,No,0.5441,0.4937,3.93
RNN,sigmoid,sgd,50,Yes,0.5351,0.4421,4.35
RNN,sigmoid,sgd,100,No,0.56,0.5294,4.71
RNN,sigmoid,sgd,100,Yes,0.5062,0.3539,4.86
RNN,sigmoid,rmsprop,25,No,0.6791,0.6783,4.29
RNN,sigmoid,rmsprop,25,Yes,0.6766,0.6725,4.74
RNN,sigmoid,rmsprop,50,No,0.6195,0.6185,4.26
RNN,sigmoid,rmsprop,50,Yes,0.6942,0.694,4.43
RNN,sigmoid,rmsprop,100,No,0.5978,0.5949,4.93
RNN,sigmoid,rmsprop,100,Yes,0.696,0.6959,5.19
LSTM,relu,adam,25,No,0.7185,0.7184,4.71
LSTM,relu,adam,25,Yes,0.7156,0.7155,5.09
LSTM,relu,adam,50,No,0.7638,0.7637,4.76
LSTM,relu,adam,50,Yes,0.7614,0.7612,5.18
LSTM,relu,adam,100,No,0.8116,0.8115,5.41
LSTM,relu,adam,100,Yes,0.8132,0.8131,5.41
LSTM,relu,sgd,25,No,0.5425,0.542,4.8
LSTM,relu,sgd,25,Yes,0.5699,0.5672,4.81
LSTM,relu,sgd,50,No,0.5249,0.4937,4.37
LSTM,relu,sgd,50,Yes,0.5611,0.5555,4.91
LSTM,relu,sgd,100,No,0.5318,0.4998,5.17
LSTM,relu,sgd,100,Yes,0.5452,0.5429,5.38
LSTM,relu,rmsprop,25,No,0.7165,0.7165,4.59
LSTM,relu,rmsprop,25,Yes,0.7228,0.7224,4.92
LSTM,relu,rmsprop,50,No,0.7608,0.7607,4.59
LSTM,relu,rmsprop,50,Yes,0.7664,0.7654,4.96
LSTM,relu,rmsprop,100,No,0.7983,0.798,5.43
LSTM,relu,rmsprop,100,Yes,0.8125,0.8125,5.84
LSTM,tanh,adam,25,No,0.716,0.715,4.73
LSTM,tanh,adam,25,Yes,0.7172,0.7165,5.05
LSTM,tanh,adam,50,No,0.7548,0.7548,4.85
LSTM,tanh,adam,50,Yes,0.767,0.7667,5.09
LSTM,tanh,adam,100,No,0.7008,0.6964,5.53
LSTM,tanh,adam,100,Yes,0.8054,0.8052,5.67
LSTM,tanh,sgd,25,No,0.602,0.6019,4.3
LSTM,tanh,sgd,25,Yes,0.6055,0.6001,4.78
LSTM,tanh,sgd,50,No,0.547,0.4833,4.54
LSTM,tanh,sgd,50,Yes,0.5914,0.5898,4.82
LSTM,tanh,sgd,100,No,0.5444,0.544,5.31
LSTM,tanh,sgd,100,Yes,0.5434,0.5322,5.54
LSTM,tanh,rmsprop,25,No,0.6992,0.6944,4.54
LSTM,tanh,rmsprop,25,Yes,0.7165,0.7164,4.86
LSTM,tanh,rmsprop,50,No,0.7599,0.7592,4.63
LSTM,tanh,rmsprop,50,Yes,0.758,0.7576,4.97
LSTM,tanh,rmsprop,100,No,0.7639,0.7631,5.34
LSTM,tanh,rmsprop,100,Yes,0.7974,0.7971,5.57
LSTM,sigmoid,adam,25,No,0.7126,0.7124,4.74
LSTM,sigmoid,adam,25,Yes,0.7116,0.7085,5.21
LSTM,sigmoid,adam,50,No,0.7592,0.7591,4.76
LSTM,sigmoid,adam,50,Yes,0.7603,0.7601,5.14
LSTM,sigmoid,adam,100,No,0.7066,0.7056,5.5
LSTM,sigmoid,adam,100,Yes,0.7971,0.797,5.65
LSTM,sigmoid,sgd,25,No,0.501,0.3338,4.37
LSTM,sigmoid,sgd,25,Yes,0.4997,0.3373,4.79
LSTM,sigmoid,sgd,50,No,0.501,0.3338,4.69
LSTM,sigmoid,sgd,50,Yes,0.499,0.3329,5.1
LSTM,sigmoid,sgd,100,No,0.499,0.3329,5.35
LSTM,sigmoid,sgd,100,Yes,0.501,0.3338,5.46
LSTM,sigmoid,rmsprop,25,No,0.713,0.712,4.54
LSTM,sigmoid,rmsprop,25,Yes,0.7174,0.7164,4.9
LSTM,sigmoid,rmsprop,50,No,0.7376,0.7376,4.52
LSTM,sigmoid,rmsprop,50,Yes,0.7434,0.7403,5.01
LSTM,sigmoid,rmsprop,100,No,0.7724,0.7723,5.34
LSTM,sigmoid,rmsprop,100,Yes,0.7961,0.7939,5.6
BiLSTM,relu,adam,25,No,0.7151,0.7148,5.7
BiLSTM,relu,adam,25,Yes,0.7195,0.7195,5.96
BiLSTM,relu,adam,50,No,0.767,0.767,5.57
BiLSTM,relu,adam,50,Yes,0.7645,0.7644,5.9
BiLSTM,relu,adam,100,No,0.766,0.7652,6.62
BiLSTM,relu,adam,100,Yes,0.8015,0.8014,6.7
BiLSTM,relu,sgd,25,No,0.5397,0.5361,5.28
BiLSTM,relu,sgd,25,Yes,0.5619,0.5616,5.68
BiLSTM,relu,sgd,50,No,0.5318,0.5193,5.34
BiLSTM,relu,sgd,50,Yes,0.5338,0.5249,5.79
BiLSTM,relu,sgd,100,No,0.5356,0.5356,6.19
BiLSTM,relu,sgd,100,Yes,0.5091,0.4189,6.43
BiLSTM,relu,rmsprop,25,No,0.7204,0.7195,5.33
BiLSTM,relu,rmsprop,25,Yes,0.7057,0.703,5.96
BiLSTM,relu,rmsprop,50,No,0.7587,0.7569,5.72
BiLSTM,relu,rmsprop,50,Yes,0.7583,0.7575,6.06
BiLSTM,relu,rmsprop,100,No,0.7706,0.7706,6.31
BiLSTM,relu,rmsprop,100,Yes,0.8126,0.8125,6.52
BiLSTM,tanh,adam,25,No,0.7188,0.7188,5.48
BiLSTM,tanh,adam,25,Yes,0.7191,0.718,5.77
BiLSTM,tanh,adam,50,No,0.7651,0.7649,5.47
BiLSTM,tanh,adam,50,Yes,0.7623,0.7623,6.06
BiLSTM,tanh,adam,100,No,0.7858,0.7857,6.45
BiLSTM,tanh,adam,100,Yes,0.7968,0.7951,6.78
BiLSTM,tanh,sgd,25,No,0.5532,0.5532,5.25
BiLSTM,tanh,sgd,25,Yes,0.6152,0.6074,5.72
BiLSTM,tanh,sgd,50,No,0.561,0.5588,5.29
BiLSTM,tanh,sgd,50,Yes,0.6156,0.5986,5.61
BiLSTM,tanh,sgd,100,No,0.5431,0.5389,6.1
BiLSTM,tanh,sgd,100,Yes,0.5434,0.5294,6.48
BiLSTM,tanh,rmsprop,25,No,0.7184,0.7176,5.43
BiLSTM,tanh,rmsprop,25,Yes,0.7095,0.7076,5.85
BiLSTM,tanh,rmsprop,50,No,0.7593,0.7592,5.27
BiLSTM,tanh,rmsprop,50,Yes,0.7608,0.7608,5.71
BiLSTM,tanh,rmsprop,100,No,0.7967,0.7962,6.44
BiLSTM,tanh,rmsprop,100,Yes,0.8068,0.8063,6.76
BiLSTM,sigmoid,adam,25,No,0.7159,0.7158,5.5
BiLSTM,sigmoid,adam,25,Yes,0.722,0.7214,5.9
BiLSTM,sigmoid,adam,50,No,0.7505,0.7499,5.69
BiLSTM,sigmoid,adam,50,Yes,0.7615,0.7614,5.91
BiLSTM,sigmoid,adam,100,No,0.7259,0.7239,6.32
BiLSTM,sigmoid,adam,100,Yes,0.8053,0.8053,6.55
BiLSTM,sigmoid,sgd,25,No,0.499,0.3329,5.18
BiLSTM,sigmoid,sgd,25,Yes,0.501,0.3338,5.44
BiLSTM,sigmoid,sgd,50,No,0.499,0.3329,5.22
BiLSTM,sigmoid,sgd,50,Yes,0.499,0.3329,5.53
BiLSTM,sigmoid,sgd,100,No,0.501,0.3338,6.05
BiLSTM,sigmoid,sgd,100,Yes,0.501,0.3338,6.14
BiLSTM,sigmoid,rmsprop,25,No,0.713,0.7127,5.2
BiLSTM,sigmoid,rmsprop,25,Yes,0.7106,0.7106,5.57
BiLSTM,sigmoid,rmsprop,50,No,0.7573,0.7566,5.35
BiLSTM,sigmoid,rmsprop,50,Yes,0.762,0.7619,5.6
BiLSTM,sigmoid,rmsprop,100,No,0.7638,0.7616,6.1
BiLSTM,sigmoid,rmsprop,100,Yes,0.8058,0.8058,6.33
